paper,repo,page,placement
nime2019_paper005,github.com/belljonathan50/SmartVox0.1,,footnote
nime2019_paper006,github.com/idmil/bletests,,footnote
nime2019_paper016,github.com/edrukar/intelligent_instrument,,footnote
nime2019_paper017,github.com/angelofraietta/StellarCommand,,citation
nime2019_paper020,www.nathanturczan.com/visualizer/index.html,,footnote (missing)
nime2019_paper026,github.com/ketchupok/half-physler.git,,footnote
nime2019_paper029,github.com/fsguiglia/MNTm,,footnote
nime2019_paper034,github.com/brunorohde/ESMERIL,,appendix
nime2019_paper036,gitlab.doc.gold.ac.uk/biomusic/continuous-gesture-sound-interaction,,footnote
nime2019_paper038,www.soundcontrolsoftware.com,,footnote (missing)
nime2019_paper040,github.com/behzadhaki/discogs-youtube-dl /qtHarmonicPercussiveSeparatorTranscriber /drum_bassline_dataset,,footnote
nime2019_paper042,github.com/axambo/physical-computing-workshop,,footnote
nime2019_paper046,github.com/nlamounier/wearable-tech-reversa,,body
nime2019_paper050,github.com/cpmpercussion/impsy/,,footnote
nime2019_paper057,github.com/sensel/morph-docs,,citation
nime2019_paper059,github.com/buggyyang/representation_demo,,body
nime2019_paper060,github.com/flucoma/FluidCorpusMap,,body
nime2019_paper061,github.com/kronoslang/kronos,,body (missing)
nime2019_paper072,github.com/NiccoloGranieri/Reach,,footnote
nime2019_paper073,gitlab.com/J_piano/womensLabor.,,citation (missing)
nime2019_paper074,github.com/hmusiclanguage/hmusic,,citation
nime2019_paper075,github.com/angelofraietta/StellarCommand,,citation
nime2019_paper076,gitlab.zhdk.ch/TPF /tpf-client/ /tpf-server,,citation
nime2019_paper083,github.com/bgenchel/pypadberg,,footnote
nime2019_paper085,github.com/JeffGregorio/TimbreMap,,footnote
nime2020_paper16,github.com/imui-org/SnoeSky,,footnote
nime2020_paper19,github.com/giuliomoro/flute-key/,,footnote
nime2020_paper29,github.com/pccadaptiveinstrumentsteam/,,body
nime2020_paper39,github.com/Harri-Renney/ThereAndBackAgain-NIME,,body
nime2020_paper42,github.com/adampultz/faab_nime_2020,,footnote
nime2020_paper43,github.com/gwendal-le-vaillant/MIEM_Experiments,,body
nime2020_paper45,miem.laras.be,,body (missing)
nime2020_paper46,github.com/alexmlucas/d1,,footnote
nime2020_paper52,github.com/IDMIL/TorqueTuner,,body
nime2020_paper54,github.com/probatio,,footnote
nime2020_paper55,github.com/DocSunset/making_mappings_scripts,,inferred
nime2020_paper64,github.com/SopiMlab/SoundingBrush,,body
nime2020_paper65,github.com/SopiMlab/DeepLearningWithAudio,,body
nime2020_paper66,github.com/chriskiefer/liveCCC,,footnote
nime2020_paper70,github.com/sparkletop/forces,,body
nime2020_paper71,github.com/postnature/delta-control,,body
nime2020_paper76,github.com/KonVas/Ipsosboard,,body
nime2020_paper98,github.com/satvik-venkatesh/,,footnote
nime2020_paper99,github.com/fdch/pathosonic,,footnote
0u3ruj23,github.com/electro-smith/oopsy,,footnote
2pqbusk7,github.com/mathiasbredholt/MapLooper,,footnote
3zeala6v,github.com/amstramgrame/amstramgrame,,footnote
4bbl5lod,gitlab.com/johnnyvenom/eco_nime_keywords,,footnote
8jaqbl7m,github.com/awwbees/BespokeSynth,,footnote
bj2w1gdx,github.com/imui-org/LoopBlocks,,footnote
czq0nt9i,github.com/bgenchel/pypadberg,,footnote
d72sylsq,github.com/alexmlucas/Instrument_One,,footnote (missing)
dzlsifz6,github.com/WorldViews/KinAudio,,footnote
eshr,github.com/Daniel-Chin/HHF,,footnote
g7avj1a7,github.com/mir-aidj/transition-analysis,,footnote
i1rx1t2e,github.com/valerianF/ISI-Database,,citation
in6wsc9t,github.com/ldzhangyx/music-nlp-chatbot,,footnote
kdahf9fq,github.com/ripolleslab/chiller,,body
oiwz8bb7,github.com/derekxkwan/talea-vis/,,body
q5oc20wg,github.com/jRoshLam,,body
quadrant,github.com/chronopoulos/quadrant-board,,citation
s3x60926,github.com/jrgillick/groove,,body (missing)
uh1zfz1f,github.com/IDMIL/le-baton,,body
y1y5jolp,github.com/lisandlop/SENSITIV-Interactive-Dance,,footnote
zd2z1evu,github.com/JRegimbal/mmi,,footnote
zpdgg2fg,github.com/mirlca/code,,footnote
3o62rlch.pdf,github.com/sambilbow/polaris,,body
4b8l5iqc.pdf,github.com/gibber-cc/gibber,18,body
a6hj6dr4.pdf,github.com/rodneydup/CHON,last,body
ahhqdi2a.pdf,norns.community/authors/anthony-t-marasco/ch-norns,,footnote (missing)
bchhb87h.pdf,github.com/Daniel-Chin/A-V-H-General-Music-Tutoring-2022,,appendix
cavi.pdf,github.com/cerdemo/cavi,,citation
h9u2ynt0.pdf,github.com/pd-l2ork/pd-l2ork,,missing
jtdpakvp.pdf,gitlab.com/ForceHost/ForceHost,26,table
kanchayyupana.pdf,github.com/lpatriciacadavid/Kanchay_Yupana_,,inferred
