year,any,git,github,source,sourceforge,gap
2001,0.00,0.00,0.00,0.00,0.00,0.0
2002,4.17,0.00,0.00,0.00,4.17,0.0
2003,6.25,0.00,0.00,0.00,6.25,0.0
2004,0.00,0.00,0.00,0.00,0.00,0.0
2005,1.30,0.00,0.00,0.00,1.30,0.0
2006,4.65,0.00,0.00,0.00,4.65,0.0
2007,3.85,0.00,0.00,0.00,3.85,0.0
2008,6.90,0.00,0.00,0.00,6.90,0.0
2009,3.64,0.00,0.00,0.00,3.64,0.0
2010,10.81,1.80,0.90,0.00,9.01,0.0
2011,10.00,3.85,0.77,0.00,6.15,0.0
2012,11.63,6.98,5.43,0.00,5.43,0.0
2013,17.80,16.10,12.71,0.00,4.24,0.0
2014,14.86,14.86,12.16,0.00,1.35,0.0
2015,14.56,13.59,10.68,0.00,2.91,0.0
2016,19.05,19.05,16.67,0.00,2.38,0.0
2017,22.86,22.86,20.95,16.19,0.00,6.67
2018,25.00,25.00,17.39,23.91,3.26,1.09
2019,31.82,31.82,23.86,28.41,0.00,3.41
2020,29.00,29.00,29.00,19.00,0.00,10.00
2021,37.50,37.50,28.41,25.00,0.00,12.50
2022,42.86,42.86,33.93,35.71,0.00,7.15
2023,54.55,53.54,45.45,33.33,2.02,21.22
2024,44.68,44.68,41.49,30.85,0.00,13.83
2025,52.08,52.08,41.67,38.54,0.00,13.54
