paper,repo,page,placement
0u3ruj23,https://github.com/electro-smith/oopsy,,footnote
2pqbusk7,https://github.com/mathiasbredholt/MapLooper,,footnote
3zeala6v,https://github.com/amstramgrame/amstramgrame,,footnote
4bbl5lod,https://gitlab.com/johnnyvenom/eco_nime_keywords,,footnote
8jaqbl7m,https://github.com/awwbees/BespokeSynth,,footnote
bj2w1gdx,https://github.com/imui-org/LoopBlocks,,footnote
czq0nt9i,https://github.com/bgenchel/pypadberg,,footnote
d72sylsq,https://github.com/alexmlucas/Instrument_One,,footnote (unreachable, rep name changed)
dzlsifz6,https://github.com/WorldViews/KinAudio,,footnote
eshr,https://github.com/Daniel-Chin/HHF,,footnote
g7avj1a7,https://github.com/mir-aidj/transition-analysis,,footnote
i1rx1t2e,https://github.com/valerianF/ISI-Database,,citation
in6wsc9t,https://github.com/ldzhangyx/music-nlp-chatbot,,footnote
kdahf9fq,https://github.com/ripolleslab/chiller,,body
oiwz8bb7,https://github.com/derekxkwan/talea-vis/,,body
q5oc20wg,https://github.com/jRoshLam,,body
quadrant,https://github.com/chronopoulos/quadrant-board,,citation
s3x60926,https://github.com/jrgillick/groove,,body (unreachable)
uh1zfz1f,https://github.com/IDMIL/le-baton,,body
y1y5jolp,https://github.com/lisandlop/SENSITIV-Interactive-Dance,,footnote
zd2z1evu,https://github.com/JRegimbal/mmi,,footnote
zpdgg2fg,https://github.com/mirlca/code  
